mesh_descriptor_uid,name,annotation,deleted
D010903,"Pituitary Gland, Anterior","diseases: coordinate IM with PITUITARY DISEASES (IM) or specifics (IM)",0
D010904,"Pituitary Gland, Posterior","diseases: coordinate IM with PITUITARY DISEASES (IM) or specifics (IM)",0
D010905,"Pituitary Hormone Release Inhibiting Hormones",,0
D010906,"Pituitary Hormone-Releasing Hormones","general, prefer specifics",0
D010907,"Pituitary Hormones","GEN or unspecified; prefer specific groups or specific hormone; /defic: consider also HYPOPITUITARISM & its specifics",0
D010908,"Pituitary Hormones, Anterior","GEN; prefer specifics",0
D010909,"Pituitary Hormones, Posterior","general or unspecified; prefer specifics",0
D010910,"Pituitary Irradiation","a radiotherapy procedure: do not confuse with effects of radiation on pituitary ( = PITUITARY GLAND / rad eff)",0
D010911,"Pituitary Neoplasms","coordinate IM with histological type of neoplasm (IM); pituitary adenoma: coordinate IM with ADENOMA (IM) in spite of entry term PITUITARY ADENOMA",0
D010912,"Pituitary-Adrenal Function Tests","pituitary function in relation to adrenal function or corticoid production: differentiate from PITUITARY FUNCTION TESTS, test of pituitary function or hormonal secretion",0
D010913,"Pituitary-Adrenal System","hypothalamo-pituitary-adrenal axis: coord HYPOTHALAMO-HYPOPHYSEAL SYSTEM + PITUITARY-ADRENAL SYSTEM",0
D010915,Pityriasis,"a papulosquamous skin dis",0
D010916,"Pityriasis Rubra Pilaris",,0
D010917,Pivampicillin,,0
D010918,Pizotyline,,0
D010919,Placebos,"usually NIM; do not index routinely for articles on CLINICAL TRIALS AS TOPIC; DOUBLE-BLIND METHOD; etc., unless particularly discussed; Manual 18.12.13",0
D010920,Placenta,"mammals only; /blood supply: consider PLACENTAL CIRCULATION; placental serum or placental blood = PLACENTA + BLOOD",0
D010921,"Placenta Accreta","check the tags FEMALE & PREGNANCY",0
D010922,"Placenta Diseases","check the tags FEMALE & PREGNANCY; FETAL MALNUTRITION is available",0
D010923,"Placenta Previa","check the tags FEMALE & PREGNANCY",0
D010924,"Placental Extracts","extracts of placenta or placental fractions; do not confuse with chemical substances ""extracted"" from the placenta, as ""peptides extracted from the mouse placenta"" ( = PEPTIDES /anal + PLACENTA /chem)",0
D010925,"Placental Function Tests",NIM,0
D010926,"Placental Hormones",,0
D010927,"Placental Insufficiency","check the tags FEMALE & PREGNANCY",0
D010928,"Placental Lactogen",,0
D010929,Placentation,"check the tags FEMALE & PREGNANCY",0
D010930,Plague,"Pasteurella pestis or Yersinia pestis infection only; swine plague = HEMORRHAGIC SEPTICEMIA /vet (IM) + SWINE DISEASES (IM) but do not confuse with African swine plague ( = AFRICAN SWINE FEVER)",0
D010931,"Plague Vaccine",,0
D010932,Planarians,"non-parasitic flatworms used in regeneration experiments",0
D010933,Plankton,"coordinate with specific organism; PHYTOPLANKTON and ZOOPLANKTON are also available; non-phototrophic bacterioplankton: index PLANKTON + BACTERIA or specific; phototrophic bacterioplankton: index PHYTOPLANKTON + BACTERIA or specific",0
D010934,"Planning Techniques","usually NIM",0
D010935,"Plant Diseases","coordinate with specific causative organism if pertinent but not with infection term",0
D010936,"Plant Extracts","coordinate with specific plant and PLANT STRUCTURES term if pertinent; for use in therapy coordinate IM or NIM with phytotherapy (IM) + disease / drug ther (IM); extracts of medicinal plants in Chinese medicine = PLANT EXTRACTS, CHINESE see DRUGS, CHINESE HERBAL",0
D010937,"Plant Growth Regulators",,0
D010938,"Plant Oils","coordinate with specific plant source of oil; ""yusho poisoning"": see note on RICE",0
D010939,"Plant Poisoning","human & animal; coord IM with specific plant (IM) + specific dis /etiol (IM); do not coord with food plants in Cat J: index under specific Cat J2 food plant /pois (IM), as FRUIT /pois or GARLIC /pois but not also here; Jamaican vomiting sickness: index PLANT POISONING + HYPOGLYCINS /pois",0
D010940,"Plant Proteins","PLANT PROTEINS, DIETARY is also available",0
D010941,"Plant Tumors",,0
D010942,"Plant Viruses","general or unspecified; prefer specifics; coordinate with specific plant /virol",0
D010943,Plantago,"note entry term  PLANTAIN: for the banana-like fruit or green plantain flour use MUSA",0
D010944,Plants,"general only: prefer specific groups or specific plants; / anat: consider also PLANT COMPONENTS; / embryol: consider also SEEDS; plants used in therapy = PHYTOTHERAPY",0
D010945,"Plants, Edible","note FRUIT and VEGETABLES are available",0
D010946,"Plants, Medicinal","IM general only; specify geographic term if pertinent",0
D010947,"Plants, Toxic","IM general only",0
D010948,"Viral Plaque Assay","for viruses; coord IM or NIM with specific virus /growth (IM); do not confuse with HEMOLYTIC PLAQUE TECHNIQUE in immunol",0
D010949,Plasma,"restrict to plasma for transfusions or plasma when compared with serum or blood cells or whole blood; substances in plasma = /blood, not PLASMA; policy: Manual 21.47, 25.14.5; for entry term FRESH FROZEN PLASMA do not coordinate with FREEZING or BLOOD PRESERVATION; PLATELET-RICH PLASMA is also available",0
D010950,"Plasma Cells","not for BLOOD CELLS: they are antibody-producing cells",0
D010951,"Plasma Exchange","/adv eff: coordinate with TRANSFUSION REACTION if pertinent",0
D010952,"Plasma Substitutes","BLOOD SUBSTITUTES is also available",0
D010953,"Plasma Volume","coordinate IM with disease /physiopathol, not /blood",0
D010954,Plasmacytoma,"solitary = PLASMACYTOMA; multiple = MULTIPLE MYELOMA; coordinate with precoordinated organ/neoplasm term",0
D010955,Plasmalogens,"do not confuse X ref here with specific phosphatidyl compounds in MeSH",0
D010956,Plasmapheresis,,0
D010957,Plasmids,"GEN; prefer specifics",0
D010958,Plasminogen,"an enzyme precursor & fibrinolytic agent; /antag: do not confuse with PLASMINOGEN INACTIVATORS which modulate PLASMINOGEN ACTIVATORS, not PLASMINOGEN",0
D010959,"Tissue Plasminogen Activator",,0
D010960,"Plasminogen Activators","/antag: consider also PLASMINOGEN INACTIVATORS",0
D010961,Plasmodium,"general; prefer specifics; infection = MALARIA; coordinate with specific protozoan terms (ANTIGENS, PROTOZOAN, etc) if pertinent",0
D010962,"Plasmodium berghei","infection: coordinate IM with MALARIA (IM); coordinate with specific protozoan terms (ANTIGENS, PROTOZOAN, etc) if pertinent",0
D010963,"Plasmodium falciparum","infection = MALARIA, FALCIPARUM; coordinate with specific protozoan terms (ANTIGENS, PROTOZOAN, etc) if pertinent",0
D010964,"Plasmodium gallinaceum","infection = MALARIA, AVIAN; coordinate with specific protozoan terms (ANTIGENS, PROTOZOAN, etc) if pertinent",0
D010965,"Plasmodium malariae","infection: coordinate IM with MALARIA (IM); coordinate with specific protozoan terms (ANTIGENS, PROTOZOAN, etc) if pertinent",0
D010966,"Plasmodium vivax","infection = MALARIA, VIVAX; coordinate with specific protozoan terms (ANTIGENS, PROTOZOAN, etc) if pertinent",0
D010967,"Plasmodium yoelii","infection: coordinate IM with MALARIA (IM); coordinate with specific protozoan terms (ANTIGENS, PROTOZOAN, etc) if pertinent",0
D010968,Plasticizers,,0
D010969,Plastics,,0
D010970,Plastocyanin,"a plant protein",0
D010971,Plastoquinone,,0
D010972,"Platelet Activating Factor",,0
D010973,"Platelet Adhesiveness",,0
D010974,"Platelet Aggregation",,0
D010975,"Platelet Aggregation Inhibitors",,0
D010976,"Platelet Count","usually NIM; coord with disease /blood, not /physiopathol",0
D010977,"Platelet Factor 3","a coagulant",0
D010978,"Platelet Factor 4",,0
D010979,"Platelet Function Tests",NIM,0
D010980,"Platelet Membrane Glycoproteins","/biosyn /drug eff /physiol /ultrastruct permitted",0
D010981,"Platelet Storage Pool Deficiency",,0
D010982,"Platelet-Derived Growth Factor",,0
D010983,Plateletpheresis,"do not confuse with PLATELET TRANSFUSION",0
D010984,Platinum,,0
D010985,Platybasia,"occipital bone abnorm; do not use /congen & do not coord with INFANT, NEWBORN, DISEASES",0
D010986,Platyhelminths,"infection = CESTODE INFECTIONS or TREMATODE INFECTIONS; for antigens, coord with ANTIGENS, HELMINTH, for antibodies, coord with ANTIBODIES, HELMINTH",0
D010987,Platypus,,0
D010988,"Play and Playthings","/psychol permitted but do not confuse with PLAY THERAPY",0
D010989,"Play Therapy",,0
D010990,"Pleasure-Pain Principle",,0
D010991,Plethysmography,"NIM; ""venous occlusion plethysmography"" & ""strain gauge plethysmography"" go here",0
D010992,"Plethysmography, Impedance","usually NIM; do not confuse entry term RHEOGRAPHY with ""rheography"" as a synonym for the study of flow dynamics of body & other fluids ( = RHEOLOGY)",0
D010993,"Plethysmography, Whole Body",,0
D010994,Pleura,"/surg: consider also PNEUMONOLYSIS; inflammation = PLEURISY; PLEURAL CAVITY is also available",0
D010995,"Pleural Diseases","inflammatory disease = PLEURISY",0
D010996,"Pleural Effusion","PLEURAL EFFUSION, MALIGNANT is also available",0
D010997,"Pleural Neoplasms","coordinate with precoordinated organ/neoplasm term",0
D010998,Pleurisy,"pleuropericarditis: coordinate PLEUROPERICARDITIS see PERICARDITIS with PLEURITIS see PLEURISY",0
D010999,Pleurodeles,"NIM when experimental animal",0
D011000,"Pleurodynia, Epidemic",,0
D011001,Pleuropneumonia,"in animals, consider also PLEUROPNEUMONIA, CONTAGIOUS",0
D011002,"Pleuropneumonia, Contagious","Mycoplasma infect; animal only; check tag ANIMALS; coord IM with precoord animal/dis term (IM) + animal (NIM) or with animal (IM) in absence of precoord",0
D011003,Ploidies,,0
D011004,"Plummer-Vinson Syndrome",,0
D011005,Plutonium,,0
D011006,"Pneumatosis Cystoides Intestinalis",,0
D011007,Pneumocephalus,,0
D011008,"Pneumococcal Infections",,0
D011009,Pneumoconiosis,"general or unspecified; prefer specifics; index specific pneumoconiosis for which there is no MeSH term here + substance yielding dust, as pneumoconiosis in gold mining: PNEUMOCONIOSIS (IM) + GOLD (IM) + MINING (IM); do not coordinate with OCCUPATIONAL DISEASES",0
D011010,Pneumocystis,"specifics PNEUMOCYSTIS JIROVECII and PNEUMOCYSTIS CARINII are available; infection = PNEUMOCYSTIS INFECTIONS but consider also PNEUMONIA, PNEUMOCYSTIS",0
D011011,Pneumoencephalography,,0
D011012,"Pneumomediastinum, Diagnostic",,0
D011013,Pneumonectomy,,0
D011014,Pneumonia,"general or unspecified; prefer specifics; PNEUMONIA, INTERSTITIAL see LUNG DISEASES, INTERSTITIAL and IDIOPATHIC INTERSTITIAL PNEUMONIAS and its specifics are also available",0
D011015,"Pneumonia, Aspiration","/congen: consider also RESPIRATORY DISTRESS SYNDROME, NEWBORN",0
D011016,"Pneumonia, Atypical Interstitial, of Cattle","don't forget also CATTLE (NIM) & check tag ANIMALS",0
D011017,"Pneumonia, Lipid","lung inflamm from aspiration or inhalation of oily or fatty substances",0
D011018,"Pneumonia, Pneumococcal",,0
D011019,"Pneumonia, Mycoplasma",,0
D011020,"Pneumonia, Pneumocystis","coordinate IM with species (IM) if pertinent",0
D011021,"Pneumonia, Progressive Interstitial, of Sheep","caused by a lentivirus; don't forget also SHEEP (NIM) & check tag ANIMALS",0
D011022,"Pneumonia, Rickettsial","coord IM with specific rickettsial infection (IM)",0
D011023,"Pneumonia, Staphylococcal","coordinate IM with Staphylococcus species (IM) if pertinent",0
D011024,"Pneumonia, Viral","coordinate IM with specific viral disease (IM)",0
D011025,Pneumonolysis,,0
D011026,Pneumopericardium,,0
D011027,Pneumoperitoneum,"do not confuse with PNEUMOPERITONEUM, ARTIFICIAL, a technique; RETROPNEUMOPERITONEUM is also available",0
D011028,"Pneumoperitoneum, Artificial",,0
D011029,Pneumoradiography,"not related to radiographic imaging of the lung",0
D011030,Pneumothorax,"do not confuse with PNEUMOTHORAX, ARTIFICIAL, a surgical procedure",0
D011031,"Pneumothorax, Artificial","coordinate with disease /surg; do not confuse with PNEUMOTHORAX, a disease",0
D011032,Podiatry,"for /educ, coordinate with medical education terms if pertinent",0
D011033,Podophyllin,,0
D011034,Podophyllotoxin,"/biosyn permitted if by plant",0
D011035,Podophyllum,,0
D011036,Poecilia,"NIM when experimental animal",0
D011037,"Poetry as Topic","coordinate IM with LITERATURE, MEDIEVAL (IM) or LITERATURE, MODERN (IM) if pertinent; do not confuse with the Publication Type POETRY",0
D011038,"Rothmund-Thomson Syndrome",,0
D011039,"Poison Control Centers","specify geog if pertinent",0
D011040,"Dermatitis, Toxicodendron","Toxicodendron or Rhus is the genus name for poison ivy; includes poison oak & poison sumac",0
D011041,Poisoning,"a disease concept: the discipline = TOXICOLOGY; general only; prefer /pois with Category D & J terms: Manual 19.7+, 19.8.57, 19.9+, 25.11.4; sometimes called ""toxicoses"" & often called ""intoxication"" in foreign literature.",0
D011042,Poisons,IM,0
D011043,"Pokeweed Mitogens",,0
D011044,Poland,,0
D011045,"Poland Syndrome","abnorm of pectoralis musc with syndactyly, named for A. Poland, 19th cent physician; do not use /congen & do not coord with INFANT, NEWBORN, DISEASES",0
D011048,Polarography,,0
D011049,"Social Control Policies","GEN or unspecified; prefer specifics; coord IM with subject of policy (IM); specify state or country or other body if pertinent",0
D011050,"Policy Making",,0
D011051,Poliomyelitis,,0
D011052,"Poliomyelitis, Bulbar",,0
D011054,"Poliovirus Vaccine, Inactivated",,0
D011055,"Poliovirus Vaccine, Oral","SABIN VACCINE is attenuated (live)",0
D011056,"Political Systems","specify geog",0
D011057,Politics,"specify geog if pertinent",0
D011058,Pollen,"coordinate with specific plant; pollen as an allergen: coordinate IM with ALLERGENS (IM); hypersensitivity: consider RESPIRATORY HYPERSENSITIVITY and its specifics particularly RHINITIS, ALLERGIC, SEASONAL",0
D011059,Polonium,,0
D011060,Poloxalene,,0
D011061,"Poly A","do not confuse with POLY A-U",0
D011062,"Polynucleotide Adenylyltransferase",,0
D011063,"Poly A-U","Do not confuse with POLY A",0
D011064,"Poly Adenosine Diphosphate Ribose",,0
D011065,"Poly(ADP-ribose) Polymerases",,0
D011066,"Poly C",,0
D011067,"Poly dA-dT","used in DNA studies",0
D011068,"Poly G",,0
D011069,"Poly I","do not confuse with POLY I-C",0
D011070,"Poly I-C","do not confuse with POLY I",0
D011071,"Poly T",,0
D011072,"Poly U",,0
D011073,Polyamines,,0
D011074,Polyanetholesulfonate,,0
D011075,"Polybrominated Biphenyls",,0
D011076,"Polycarboxylate Cement",,0
D011077,Polychaeta,"marine worms; /microbiol /parasitol /virol permitted",0
D011078,"Polychlorinated Biphenyls","""yusho poisoning"": see note on RICE",0
D011080,"Polychloroterphenyl Compounds",,0
D011081,"Polychondritis, Relapsing",,0
D011083,"Polycyclic Compounds",,0
D011084,"Polycyclic Aromatic Hydrocarbons",,0
D011085,"Polycystic Ovary Syndrome",non-neoplastic,0
D011086,Polycythemia,"increase in total red cell mass",0
D011087,"Polycythemia Vera",,0
D011088,"DNA Ligases","do not confuse X ref POLYDEOXYRIBONUCLEOTIDE SYNTHETASES with X ref POLYRIBONUCLEOTIDE SYNTHETASE",0
D011089,Polydeoxyribonucleotides,"13 or more nucleotides",0
D011090,Polyenes,,0
D011091,Polyesters,,0
D011092,"Polyethylene Glycols",,0
D011093,"Polyethylene Terephthalates",,0
D011094,Polyethyleneimine,,0
D011095,Polyethylenes,"POLYETHYLENE is available",0
D011096,Polygalacturonase,"in microorganisms & higher plants",0
D011097,Polygeline,,0
D011098,"Polyglactin 910",,0
D011099,"Polyglutamic Acid",,0
D011100,"Polyglycolic Acid",,0
D011102,"Polyhydroxyethyl Methacrylate",,0
D011103,"Polyisoprenyl Phosphate Monosaccharides",,0
D011104,"Polyisoprenyl Phosphate Oligosaccharides",,0
D011105,"Polyisoprenyl Phosphate Sugars",,0
D011106,"Polyisoprenyl Phosphates",,0
D011107,Polylysine,,0
D011108,Polymers,,0
D011109,"Polymethacrylic Acids",,0
D011110,"Polymorphism, Genetic",,0
D011111,"Polymyalgia Rheumatica",,0
D011112,"Polymyxin B",,0
D011113,Polymyxins,,0
D011114,Polynesia,"a group of islands in the central Pacific",0
D011115,Polyneuropathies,,0
D011116,"Polynucleotide 5'-Hydroxyl-Kinase",,0
D011117,"Polyribonucleotide Nucleotidyltransferase",,0
D011118,"Polynucleotide Ligases","do not confuse X ref POLYNUCLEOTIDE SYNTHETASES with X refs POLYRIBONUCLEOTIDE SYNTHETASE or POLYDEOXYRIBONUCLEOTIDE SYNTHETASES",0
D011119,Polynucleotides,"13 or more nucleotides",0
D011120,Polyomavirus,"infection: coordinate IM with POLYOMAVIRUS INFECTIONS (IM) + TUMOR VIRUS INFECTIONS (IM)",0
D011121,"Polyphloretin Phosphate",,0
D011122,Polyphosphates,,0
D011123,Polyploidy,,0
D011124,Polyporaceae,,0
D011125,"Adenomatous Polyposis Coli",,0
D011126,Polypropylenes,,0
D011127,Polyps,"if neoplastic, coord IM with precoord organ/neopl term (IM), otherwise coord with precoord organ/dis term (IM); COLONIC POLYPS; INTESTINAL POLYPS & NASAL POLYPS are also available",0
D011128,Polyradiculopathy,"do not confuse with POLYRADICULONEUROPATHY (dis of both spinal nerve roots & peripheral nerves) nor with RADICULOPATHY (dis of a single spinal nerve root)",0
D011129,Polyradiculoneuropathy,"do not confuse with POLYRADICULOPATHY (dis of multiple nerve roots) nor with RADICULOPATHY (dis of a single nerve root)",0
D011130,"RNA Ligase (ATP)","do not confuse X ref POLYRIBONUCLEOTIDE SYNTHETASE with X refs POLYDEOXYRIBONUCLEOTIDE SYNTHETASES or POLYNUCLEOTIDE SYNTHETASES",0
D011131,Polyribonucleotides,"13 or more nucleotides",0
D011132,Polyribosomes,,0
D011133,Polysaccharide-Lyases,,0
D011134,Polysaccharides,"13 or more units; GEN; prefer specifics",0
D011135,"Polysaccharides, Bacterial","general or unspecified; prefer specifics; coordinate with specific bacterium + specific polysaccahride if pertinent",0
D011136,Polysorbates,,0
D011137,Polystyrenes,"STYRENES and STYRENE are available",0
D011138,Polytetrafluoroethylene,,0
D011139,Polythiazide,,0
D011140,Polyurethanes,"URETHANE is available",0
D011141,Polyuria,,0
D011142,"Polyvinyl Alcohol",,0
D011143,"Polyvinyl Chloride",,0
D011144,"Polyvinylpyridine N-Oxide",,0
D011145,Polyvinyls,,0
D011146,"Eczema, Dyshidrotic","eczema with hyperhidrosis",0
D011148,"Pongo pygmaeus","diseases: coordinate with APE DISEASES + specific disease /vet",0
D011149,Pons,,0
D011150,"Popliteal Artery",,0
D011151,"Popliteal Cyst",non-neoplastic,0
D011152,"Popliteal Vein",,0
D011153,Population,"IM human, NIM animal; /genet allowed; differentiate from DEMOGRAPHY (the statist study of population characteristics)",0
D011154,"Population Characteristics","INDEXER: Do not use",0
D011155,"Population Control","IM human, NIM animal; specify geog; a broad plane: differentiate from FAMILY PLANNING, a personal level",0
D011156,"Population Density","IM human, NIM animal",0
D011157,"Population Dynamics","IM human, NIM animal; specify geographic location",0
D011158,"Population Growth","IM human, NIM animal",0
D011159,"Population Surveillance","IM human, NIM animal; specify geog",0
D011160,Porfiromycin,,0
D011161,Porifera,,0
D011162,Porphobilinogen,"/biosyn /physiol permitted",0
D011163,"Hydroxymethylbilane Synthase",,0
D011164,Porphyrias,"general or unspecified: prefer specifics",0
D011165,Porphyrinogens,,0
D011166,Porphyrins,"pigments; iron porphyrins = HEME or HEMIN, magnesium porphyrins = CHLOROPHYLL",0
D011167,"Portacaval Shunt, Surgical",,0
D011168,"Portal System",,0
D011169,"Portal Vein",,0
D011170,"Portasystemic Shunt, Surgical","general or unspecified; prefer specifics",0
D011171,"Portoenterostomy, Hepatic",,0
D011172,Portography,,0
D011173,"Portraits as Topic","use only for portraits as a subject; for individual or group portraits in an article, use the Publication Type PORTRAIT",0
D011174,Portugal,,0
D011175,"Positive-Pressure Respiration","note category: a type of artificial respiration; do not confuse with POSITIVE-PRESSURE RESPIRATION, INTRINSIC, a type of respiratory insufficiency",0
D011176,"Post and Core Technique",,0
D011177,"Postal Service",,0
D011178,"Postgastrectomy Syndromes",,0
D011180,"Postmortem Changes","do not use for routine postmortem pathol ( = /pathol)",0
D011181,"Postnatal Care",,0
D011182,"Postoperative Care",,0
D011183,"Postoperative Complications","coordinate with specific postoperative complication (if not treed under POSTOPERATIVE COMPLICATIONS) and specific surgical procedure if pertinent;  effective 2017:  for postoperative complications that are a direct result of the surgical procedure, coordinate with specific postoperative complication(if not treed under POSTOPERATIVE COMPLICATIONS) and specific surgical procedure /adv eff",0
D011184,"Postoperative Period","usually NIM",0
D011185,"Postpericardiotomy Syndrome",,0
D011186,"Postphlebitic Syndrome",,0
D011187,Posture,,0
D011188,Potassium,"/blood: note also HYPERKALEMIA and HYPOKALEMIA; POTASSIUM, DIETARY is also available",0
D011189,"Potassium Chloride",,0
D011190,"Potassium Cyanide",,0
D011191,"Potassium Deficiency",,0
D011192,"Potassium Dichromate","an astringent, caustic, antiseptic & dye",0
D011193,"Potassium Iodide","useful source of iodine in thyrotoxic crisis",0
D011194,"Potassium Isotopes",,0
D011195,"Potassium Magnesium Aspartate",,0
D011196,"Potassium Permanganate",,0
D011197,"Potassium Radioisotopes","for routine use as tracer, use no qualifiers",0
D011198,"Solanum tuberosum","SWEET POTATO see IPOMOEA BATAS is also available",0
D011199,Potentiometry,"a type of titrimetry; NIM",0
D011200,Poultry,"general or unspecified; prefer specifics; differentiate from BIRDS: ""birds"" in zoos, parks, forest, streets, pet shops = BIRDS, ""birds"" in barnyard, hatchery, butcher shop = POULTRY; canned poultry meat: see note at POULTRY PRODUCTS",0
D011201,"Poultry Diseases","coord IM with specific poultry (IM); for abnormalities or injuries, index under POULTRY /abnorm or POULTRY /inj; don't forget also POULTRY (NIM) if no specific fowl is indexed; also check tag ANIMALS; differentiate from BIRD DISEASES on basis of definition of BIRDS & POULTRY under POULTRY",0
D011202,"Poultry Products","coordinate IM with poultry source (NIM ): canned poultry meat: coordinate POULTRY or specific poultry (IM) with FOOD CANNED see FOOD, PRESERVED",0
D011203,Poverty,"specify geographic location if pertinent",0
D011204,"Poverty Areas",,0
D011205,Povidone,,0
D011206,Povidone-Iodine,,0
D011208,Powders,"NIM (no qualifiers) with specific drug IM; /adv eff permitted but use only for the adverse effect of the powder itself and not the drug in powder form",0
D011209,"Power, Psychological",,0
D011210,"Power Plants","on an industrial & technology level: differentiate from POWER SOURCES; coordinate with source of power if pertinent",0
D011211,"Electric Power Supplies","do not confuse with POWER PLANTS which are on an industrial level",0
D011212,Poxviridae,"a family of DNA viruses; infection = POXVIRIDAE INFECTIONS",0
D011213,"Poxviridae Infections","GEN or unspecified; prefer specifics",0
D011214,"Practice, Psychological","human & animal",0
D011215,"Practice Management, Dental",,0
D011216,"Practice Management, Medical",,0
D011217,Practolol,,0
D011218,"Prader-Willi Syndrome",,0
D011219,Prajmaline,,0
D011220,"Pralidoxime Compounds",,0
D011221,Praseodymium,,0
D011222,Prazepam,,0
D011223,Praziquantel,,0
D011224,Prazosin,,0
D011225,Pre-Eclampsia,"check tags FEMALE & PREGNANCY",0
D011226,"Pre-Excitation Syndromes","general, prefer specifics",0
D011227,"Pre-Excitation, Mahaim-Type","SHORT PR NORMAL QRS COMPLEX SYNDROME see LOWN-GANONG-LEVINE SYNDROME is available",0
D011228,Prealbumin,"/biosyn /drug eff /physiol permitted",0
D011229,"Preanesthetic Medication",,0
D011230,"Precancerous Conditions","IM; do not use /compl for develop into cancer: use /pathol; coord IM with organ/neopl term (IM); Manual 24.4.1.13",0
D011231,Preceptorship,,0
D011232,"Chemical Precipitation","do not use for precipitation as a weather phenomenon",0
D011233,"Precipitin Tests",,0
D011234,Precipitins,,0
D011235,"Predatory Behavior","animal only",0
D011236,"Prediabetic State","do not use /compl for development into diabetes mellitus; coordinate IM with specific type of diabetes mellitus (IM) if pertinent",0
D011237,"Predictive Value of Tests","IM general only",0
D011238,Prednimustine,,0
D011239,Prednisolone,,0
D011241,Prednisone,"note entry term DECORTIN: DECORTIN (DESOXYCORTICOSTERONE) see DESOXYCORTICOSTERONE is also available",0
D011243,"Preferred Provider Organizations","specify geog if possible",0
D011244,Pregnadienediols,,0
D011245,Pregnadienes,,0
D011246,Pregnadienetriols,,0
D011247,Pregnancy,"IM for articles on normal pregnancy, NIM as check tag; in children or adolescents, see note under PREGNANCY IN ADOLESCENCE; surrogate pregnancy = SURROGATE MOTHERS; for ""pregnancy"" in non-placental organisms (fish, reptiles, monotremes for example): use OVIPARITY; OVOVIVIPARITY; or VIVIPARITY, NONMAMMALIAN",0
D011248,"Pregnancy Complications","coordinate IM with specific disease (IM); / surg: consider also OBSTETRIC SURGICAL PROCEDURES",0
D011249,"Pregnancy Complications, Cardiovascular","coordinate IM with specific cardiovascular disease (IM); check the tags FEMALE & PREGNANCY; hemorrhage during pregnancy goes here, not PREGNANCY COMPLICATIONS, HEMATOLOGIC",0
D011250,"Pregnancy Complications, Hematologic","for disorders of formed elements or coagulation processes of blood in pregnancy, not for excess or deficiency of substances in the blood (as HYPOKALEMIA + PREGNANCY COMPLICATIONS not PREGNANCY COMPLICATIONS, HEMATOLOGIC); coordinate IM with specific hematologic disease (IM); check the tags FEMALE & PREGNANCY; hemorrhage during pregnancy goes under PREGNANCY COMPLICATIONS, CARDIOVASCULAR, not here",0
D011251,"Pregnancy Complications, Infectious","bacterial, fungal or viral infections: PREGNANCY COMPLICATIONS, PARASITIC is also available; coordinate  with specific infectious disease",0
D011252,"Pregnancy Complications, Neoplastic","coordinate IM with specific histologic type (IM) + precoordinated organ/neopl term (IM); check the tags FEMALE & PREGNANCY; Manual 18.4.7; DF: PREGN COMPL NEOPL",0
D011253,"Pregnancy in Adolescence","IM; use only for pregnancy as a social, cultural, or psychological problem in adolescents; for other aspects of PREGNANCY (IM) in adolescents, use PREGNANCY (IM) + ADOLESCENT (check tag); includes pregnancy in children under 13; check tags HUMAN; FEMALE; PREGNANCY & ADOLESCENT or CHILD if under 13",0
D011254,"Pregnancy in Diabetics","DIABETES MELLITUS, not DIABETES INSIPIDUS; coordinate IM with specific type of diabetes mellitus (IM) if pertinent",0
D011255,"Pregnancy Maintenance",,0
D011256,"Pregnancy Outcome","general or unspecified: prefer specific outcome",0
D011257,"Pregnancy Proteins","general or unspecified; prefer specifics",0
D011258,"Pregnancy Tests","human & animal; check tags FEMALE & PREGNANCY; DF: PREGN TESTS",0
D011259,"Pregnancy Tests, Immunologic","human & animal; check tags FEMALE & PREGNANCY",0
D011261,"Pregnancy Trimester, First","human only",0
D011262,"Pregnancy Trimester, Second","human only",0
D011263,"Pregnancy Trimester, Third","human only; check tags HUMANS & FEMALE & PREGNANCY; ""at term"": consider better LABOR, OBSTETRIC; DF: PREGN TRIMESTER THIRD",0
D011264,"Pregnancy Trimesters","human only; GEN or unspecified; prefer specifics; trimesters are indexed only when the point of the article or substantively discussed: they are not sought out routinely nor indexed when merely mentioned",0
D011266,"Pregnancy-Associated Plasma Protein-A",,0
D011268,"Pregnancy-Specific beta 1-Glycoproteins",,0
D011269,"Pregnancy, Abdominal",,0
D011270,"Pregnancy, Animal","IM for articles on normal animal pregn but check also tag PREGNANCY; for NIM animal pregnancy do not index PREGNANCY, ANIMAL: merely check tag PREGNANCY; check tags ANIMALS & FEMALE also",0
D011271,"Pregnancy, Ectopic","check the tags FEMALE & PREGNANCY; PREGNANCY, HETEROTOPIC is also available",0
D011272,"Pregnancy, Multiple","human & animal; in reference to animals, do not use PREGNANCY, MULTIPLE for animals naturally having litters; consider LITTER SIZE; not for ""heterotopic pregnancy"": see note at PREGNANCY, ECTOPIC; check tags FEMALE & PREGNANCY",0
D011273,"Pregnancy, Prolonged",,0
D011274,"Pregnancy, Tubal","check the tags FEMALE & PREGNANCY",0
D011275,"Pregnancy, Unwanted","PREGNANCY, UNPLANNED is also available; check tags HUMANS & FEMALE & PREGNANCY; DF: PREGN UNWANTED",0
D011276,Pregnanediol,,0
D011277,Pregnanediones,,0
D011278,Pregnanes,"do not confuse with PREGNENES",0
D011279,Pregnanetriol,,0
D011280,Pregnanolone,"do not confuse with PREGNENOLONE",0
D011281,Pregnatrienes,,0
D011282,Pregnenediones,,0
D011283,Pregnenes,"do not confuse with PREGNANES",0
D011284,Pregnenolone,"do not confuse with PREGNANOLONE",0
